Rank,Method,P@5,R@5,AP,MRR,nDCG
1,Boolean Search,0.27,0.24250000000000002,0.17979166666666666,0.5391666666666667,0.306447096833369
2,Fused Search,0.24,0.2425,0.18666666666666668,0.5558333333333334,0.28546632327517574
3,BM25 Search,0.22999999999999998,0.2325,0.189,0.5791666666666667,0.27081334994874473
4,FAISS Semantic Search,0.25,0.25250000000000006,0.1716666666666667,0.5108333333333334,0.2501904319213485
5,Semantic Search,0.25,0.25250000000000006,0.1716666666666667,0.5108333333333334,0.2501904319213485
