Rank,Method,P@5,R@5,AP,MRR,nDCG
1,Fused,0.3,0.30500000000000005,0.2503333333333333,0.7041666666666667,0.36157749639787373
2,BM25,0.26,0.2625,0.20983333333333332,0.6166666666666667,0.30104239053941395
3,FAISS Semantic,0.27,0.27749999999999997,0.21404166666666663,0.5708333333333333,0.29159714439906914
4,Semantic,0.27,0.27749999999999997,0.21404166666666663,0.5708333333333333,0.29159714439906914
5,Boolean,0.22999999999999998,0.20249999999999999,0.15291666666666665,0.4833333333333333,0.2552432796715696
